Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Architecture & Construction,Construction,Carpet Installers,1.72,3.71,1,1.34,7,1.3,0.105146235,0.114567517,0.100759179,0.025868077,-0.094374611,22.34,69.22,1.26,7.18,0,0,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Cartographers and Photogrammetrists,3.56,5.33,1.63,5.15,4.61,1.77,0.15493424,0.114712018,0.107659864,0.028040816,-0.088884354,0,0,35.73,10.63,11.15,30.02,1.48,10.99,0,0,0,0
Marketing,Professional Sales,Cashiers,1,6.06,3.66,1.02,2.8,2.73,0.067811233,0.168668211,0.178592936,0.0296989,-0.115286624,37.34,44.32,9.17,9.17,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Cement Masons and Concrete Finishers,1.68,3.25,1,2.28,7,1,0.118895743,0.109420111,0.093349784,0.02299198,-0.094349167,51.7,35.02,12.65,0,0.62,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,Chefs and Head Cooks,2.73,4.43,5.16,1.61,4.87,2.95,0.123604598,0.136804598,0.180593103,0.020988506,-0.109002299,6.9,6.9,17.24,3.45,51.72,10.34,3.45,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Chemical Engineers,1.76,4.61,1.83,5.73,6.28,1.06,0.132139163,0.120366714,0.097056888,0.021810061,-0.098810531,0,0,0,0,0,81.82,0,9.09,0,0,9.09,0
Manufacturing,Production,Chemical Equipment Operators and Tenders,1,4.83,1.27,3.32,6.65,1.05,0.095149007,0.129012141,0.094271523,0.023818985,-0.100844371,1.8,48.79,13.5,20.64,13.5,1.77,0,0,0,0,0,0
Manufacturing,Production,Chemical Plant and System Operators,1,5.23,1.67,3.26,6.27,1.32,0.091744,0.134869333,0.105114667,0.024602667,-0.103024,0,61.53,0.97,0.51,0.21,36.27,0,0.3,0,0,0.21,0
Manufacturing,Manufacturing Production Process Development,Chemical Technicians,1.57,5.07,1.02,5.88,5.44,1.72,0.130246377,0.123043478,0.092932367,0.031594203,-0.096995169,0,33.34,0,22.42,0.5,43.74,0,0,0,0,0,0
Education & Training,Teaching/Training,"Chemistry Teachers, Postsecondary",2.96,3.77,2.08,5.82,4.05,5.72,0.173512295,0.114877049,0.147122951,0.053237705,-0.097803279,0,0,0,0.3,0,2.1,5.77,35.27,0,0,25.19,31.37
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Chemists,1.5,4.95,1.6,6.66,5.66,1.15,0.132695167,0.123587361,0.092922862,0.024460967,-0.099395911,0,0,0,0,0,55.91,4.16,9.91,0,0,30.02,0
Business Management & Administration,General Management,Chief Executives,2.08,5,6.88,3.24,1.3,3.52,0.124777475,0.15893733,0.212988193,0.021262489,-0.119981835,0,4.46,0,0,5.15,32.29,0,45.91,3.94,0.55,4.92,2.78
Business Management & Administration,General Management,Chief Sustainability Officers,2.48,4.49,6.68,4.78,2.04,3.55,0.144621149,0.14582015,0.195516236,0.022073272,-0.115595337,0,0,0,0,0,18.52,0,74.07,7.41,0,0,0
Human Services,Family & Community Services,"Child, Family, and School Social Workers",2.9,3.57,2.93,3.32,1.7,6.85,0.170667607,0.126958157,0.192618712,0.063427362,-0.102477668,0,0,0,0,5.51,68.66,0,25.83,0,0,0,0
Human Services,Early Childhood Development & Services,Childcare Workers,3.52,3.61,2.92,1.3,3.35,5.94,0.16065407,0.120765504,0.188352713,0.055242248,-0.098023256,14.28,38.54,5.59,10.17,22.71,8.71,0,0,0,0,0,0
Health Science,Therapeutic Services,Chiropractors,1.35,3.53,2.23,5.06,5.19,5.73,0.146431356,0.124261585,0.150753573,0.05438285,-0.106639238,0,3.58,6.75,0,0,0,0,0,0,7.53,82.14,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Choreographers,7,1.88,3.8,2.08,3.67,4.08,0.228627277,0.085761884,0.175584185,0.032638827,-0.081501555,9.52,33.33,19.05,4.76,9.52,19.05,0,4.76,0,0,0,0
Architecture & Construction,Design/Pre-Construction,Civil Engineering Technologists and Technicians,2.61,5.33,1.92,5.46,5.82,1.55,0.137866902,0.120083737,0.104795064,0.025037461,-0.095178493,0,2.65,29.77,28.09,21.15,18.34,0,0,0,0,0,0
Architecture & Construction,Design/Pre-Construction,Civil Engineers,2.15,4.63,2.9,5.11,6.36,1.79,0.133539669,0.123182214,0.120248474,0.022423714,-0.101691369,0,0,0,0,0,85.71,4.76,9.52,0,0,0,0
Finance,Insurance,"Claims Adjusters, Examiners, and Investigators",1,6.24,4.8,3.4,1.11,2.63,0.092080292,0.171616267,0.184509906,0.024713243,-0.119009385,0,13.11,2.59,11.93,12.01,55.82,0,0.58,0,0,3.95,0
"Transportation, Distribution & Logistics",Facility and Mobile Equipment Maintenance,Cleaners of Vehicles and Equipment,1,3.86,1,1.07,7,1.18,0.081350099,0.124070152,0.09971542,0.025287889,-0.099576439,23.76,54.02,2.27,19.94,0,0,0,0,0,0,0,0
Manufacturing,Production,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1,4.45,1,1.77,7,1,0.08175709,0.127114673,0.09365598,0.023834772,-0.099383477,31.68,59.82,0.73,3.89,3.89,0,0,0,0,0,0,0
Human Services,Family & Community Services,Clergy,3.48,2.83,4.18,2.14,2.11,5.88,0.175581959,0.124044617,0.208263822,0.049932105,-0.103695441,0,12.16,0,15.21,0,18.32,0,47.82,0,1.34,5.14,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Climate Change Policy Analysts,3.11,4.06,4.69,6.73,1.37,3.17,0.175728491,0.129917856,0.165551232,0.027777778,-0.104855166,0,0,0,0,0,13.04,4.35,60.87,0,4.35,13.04,4.35
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Clinical Data Managers,1.15,6.87,3.3,5.71,1.29,2.55,0.109238141,0.159161476,0.145783421,0.031399138,-0.11006229,0,0,0,0,5,85,5,5,0,0,0,0
Human Services,Counseling & Mental Health Services,Clinical Neuropsychologists,2.4,3.45,2.11,7,2.86,5.72,0.180033985,0.118118097,0.148797791,0.055446049,-0.100692438,0,0,0,0,0,0,0,0,0,0,8.33,91.67
Health Science,Therapeutic Services,Clinical Nurse Specialists,1.71,4.21,3.92,4.97,2.42,6.09,0.14806175,0.138842196,0.182928816,0.051432247,-0.111552316,0,0,0,0,0,0,0,96.55,3.45,0,0,0
"Agriculture, Food & Natural Resources",Natural Resources Systems,Clinical Research Coordinators,1.53,5.04,4.27,5.74,1.98,3.57,0.135933122,0.146507004,0.16630366,0.033343877,-0.112295526,0,7.03,11.58,9.24,5.92,60.13,0,4.83,0,0,1.27,0
Human Services,Counseling & Mental Health Services,Clinical and Counseling Psychologists,3.02,3.55,2.67,5.5,1.07,6.57,0.186474531,0.122783735,0.176738159,0.061385165,-0.10041555,0,0,0,0,0,0,0,8,0,0,44,48
Education & Training,Teaching/Training,Coaches and Scouts,2.43,3.44,5.13,2.15,4.26,5.31,0.14090669,0.134203345,0.199242958,0.038926056,-0.112161092,3.65,8.86,0,0,17.41,48.89,0,19.37,0,0,1.81,0
Manufacturing,Production,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2.11,3.64,1.05,1.49,6.98,1.23,0.116133333,0.110187879,0.100545455,0.024545455,-0.091872727,26.66,62.67,7.07,3.6,0,0,0,0,0,0,0,0
Manufacturing,Production,"Coil Winders, Tapers, and Finishers",1,4.17,1.4,2.28,6.54,1.12,0.092168383,0.12774682,0.102652938,0.02324046,-0.10172017,1.64,57.18,40.87,0,0.3,0,0,0,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Coin, Vending, and Amusement Machine Servicers and Repairers",1,5.71,1.89,1.8,6.08,1.23,0.070361378,0.143466968,0.114071146,0.022444946,-0.104217956,0,91.61,7.58,0,0.81,0,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,Commercial Divers,1.35,3.1,1.66,3.6,7,1.1,0.12540146,0.113964065,0.101409321,0.021184728,-0.100527793,0,7.7,72.4,3.3,11.57,5.02,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Commercial Pilots,1.18,4.58,3.88,2.62,4.84,2.58,0.102784553,0.144796748,0.160518293,0.025142276,-0.113170732,15.11,28.63,36.44,16.92,1.09,0.59,1.22,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Commercial and Industrial Designers,5.55,3.48,3.69,4.05,4.64,1.84,0.192176344,0.100335484,0.141045161,0.018025806,-0.087221505,0,4.3,0.29,15.23,12.26,67.92,0,0,0,0,0,0
Education & Training,Teaching/Training,"Communications Teachers, Postsecondary",3.9,3.36,3.19,4.59,2.03,7,0.189742418,0.116825924,0.182575821,0.058350644,-0.098300789,0,0,0,0,0,0,0,70.85,0.97,0,17.38,10.79
Human Services,Family & Community Services,Community Health Workers,2.24,3.36,3.5,3.49,1.94,6.58,0.161212695,0.132794884,0.197645666,0.05933207,-0.108422549,0,7.49,0,2.63,22.71,51.88,0,15.3,0,0,0,0
Business Management & Administration,Human Resources Management,Compensation and Benefits Managers,1.49,5.56,7,2.44,1,3.69,0.103772427,0.171142587,0.223597734,0.022474032,-0.124787535,0,0,0,0,0,76.19,9.52,14.29,0,0,0,0
Business Management & Administration,Human Resources Management,"Compensation, Benefits, and Job Analysis Specialists",1.28,5.96,5.11,3.5,1.43,3.27,0.103863747,0.164982968,0.189226277,0.027956204,-0.118087591,0,4.76,0,0,0,85.71,9.52,0,0,0,0,0
Business Management & Administration,General Management,Compliance Managers,1,6.3,5.93,2.98,1.92,3.1,0.089387659,0.171229392,0.196537918,0.02268017,-0.122406971,0,8.93,6.72,1.27,5.33,63.38,0,14.21,0,0.17,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Computer Hardware Engineers,1.84,5.28,1.88,5.64,5.79,1.79,0.128447345,0.125436544,0.105819082,0.027560756,-0.099288929,0,0,0,6.9,0,48.28,0,34.48,0,3.45,6.9,0
Information Technology,Network Systems,Computer Network Architects,2.24,5.07,3.17,5.33,4.06,2.19,0.137629193,0.131527652,0.133857661,0.025802357,-0.102733454,5,0,15,0,15,55,5,5,0,0,0,0
Information Technology,Network Systems,Computer Network Support Specialists,1,5.49,2.71,4.61,4.31,2.33,0.107496333,0.143677262,0.131701711,0.029784841,-0.108337408,0,4.23,10.16,13.63,21.68,46.93,1.84,0,1.53,0,0,0
Manufacturing,Production,Computer Numerically Controlled Tool Operators,1.14,5.44,1.43,2.82,6.4,1,0.086072408,0.134360943,0.098601207,0.02266045,-0.10065277,3.5,48.24,21.16,16.8,7.08,3.22,0,0,0,0,0,0
Manufacturing,Production,Computer Numerically Controlled Tool Programmers,1.41,6.19,1.71,3.78,4.62,1.61,0.0975,0.141102484,0.111216356,0.028240166,-0.100874741,0.17,23.67,40.57,6.78,19.29,9.52,0,0,0,0,0,0
Information Technology,Programming and Software Development,Computer Programmers,2.62,5.8,2.04,5.18,3.31,2.01,0.138373092,0.130104962,0.119250954,0.02995229,-0.095677481,0,0,0,2.52,8.99,88.04,0,0.45,0,0,0,0
Education & Training,Teaching/Training,"Computer Science Teachers, Postsecondary",3.21,4.12,2.25,5.66,3.15,5.8,0.174820174,0.117751137,0.152914427,0.053803224,-0.097242662,0,0,0,0,0,11,0,47.35,0,0,41.65,0
Information Technology,Programming and Software Development,Computer Systems Analysts,1.98,5.89,2.26,6.36,3.34,1.89,0.134116022,0.134558011,0.116293738,0.028618785,-0.100165746,0,0.77,0.54,4.62,50.71,41.93,0,1.42,0,0,0,0
Information Technology,Information Support and Services,Computer Systems Engineers/Architects,1.97,5.42,2.81,5.77,4.33,2.04,0.132135184,0.132600716,0.124489705,0.026392122,-0.102564906,0,0,40.91,4.55,27.27,22.73,0,4.55,0,0,0,0
Information Technology,Information Support and Services,Computer User Support Specialists,1,5.89,2.31,3.85,4.06,3.32,0.101497797,0.146500245,0.138786099,0.039740578,-0.107552619,0,0.32,32.33,1.92,13.74,47.32,0,0.32,0,4.05,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Computer and Information Research Scientists,2.86,4.8,2.42,7,3.94,2.04,0.161552472,0.119705117,0.116686904,0.027762359,-0.09633131,0,0,0,8.35,0,36.22,0,19.93,0,2.58,28.42,4.5
Business Management & Administration,Business Information Management,Computer and Information Systems Managers,1.5,5.72,5.09,4.42,2.56,2.41,0.112866359,0.155073733,0.170119816,0.020571429,-0.115036866,0,1.26,5.77,25.96,2.16,47.68,2.8,14.36,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair","Computer, Automated Teller, and Office Machine Repairers",1,5.36,1.57,2.81,6.12,1.57,0.087162235,0.136776994,0.108426479,0.027384699,-0.102859468,0,28.15,31.04,7.47,32.97,0.38,0,0,0,0,0,0
Hospitality & Tourism,Lodging,Concierges,2.18,4.45,4.64,1,2.65,5.34,0.122462981,0.147778875,0.211727542,0.044501481,-0.112971372,0,31.82,9.09,27.27,22.73,9.09,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Conservation Scientists,1.97,4,3.18,5.7,5.16,2.88,0.146256007,0.124495413,0.135897772,0.030008737,-0.104692005,0,0,4.35,0,0,69.57,8.7,13.04,0,0,4.35,0
Architecture & Construction,Construction,Construction Laborers,1.38,3.61,1.35,2.68,7,1.23,0.111936232,0.117194203,0.100626087,0.023866667,-0.098869565,32.53,34.9,27.98,0,4.59,0,0,0,0,0,0,0
Architecture & Construction,Construction,Construction Managers,1.73,4.81,5.74,3.08,4.69,2.34,0.111661456,0.146873604,0.175698973,0.015350603,-0.115891023,0,5,0,0,5,90,0,0,0,0,0,0
Government & Public Administration,Regulation,Construction and Building Inspectors,1.11,5.46,2.1,4.11,6.36,1.42,0.099737354,0.134785992,0.108842412,0.023570039,-0.104095331,0,36,36,4,4,16,0,4,0,0,0,0
Architecture & Construction,Construction,Continuous Mining Machine Operators,1,3.92,1.37,2.47,7,1.08,0.096728029,0.123758907,0.099418052,0.022624703,-0.101478622,3.96,81.27,9.64,5.13,0,0,0,0,0,0,0,0
Architecture & Construction,Maintenance/Operations,"Control and Valve Installers and Repairers, Except Mechanical Door",1,4.75,1,2.85,7,1.19,0.091714446,0.126964587,0.091871838,0.02608769,-0.09965149,0,46.98,41.84,2.99,6.75,1.44,0,0,0,0,0,0
Architecture & Construction,Construction,Conveyor Operators and Tenders,1,4.75,2.79,1.31,6.35,1.34,0.076282782,0.141841505,0.133557583,0.017936146,-0.109002281,70.04,24.32,0.54,5.1,0,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Cooks, Fast Food",1.86,4.69,3.45,1.26,6.12,2.5,0.10084507,0.136081489,0.153516097,0.024738431,-0.106906439,42.02,57.98,0,0,0,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Cooks, Institution and Cafeteria",1.98,4.41,3.01,1.89,5.93,3.06,0.114457594,0.130606509,0.15025641,0.031499014,-0.104659763,1.94,71.14,14.21,5.85,0.08,6.78,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Cooks, Private Household",3.62,3.73,3.43,1.39,5.22,3.65,0.149063688,0.117447719,0.165632129,0.033051331,-0.097495247,15.38,30.77,38.46,3.85,11.54,0,0,0,0,0,0,0
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Cooks, Restaurant",2.45,4.26,3.84,1.4,5.8,2.78,0.118714077,0.130574769,0.161738919,0.024924501,-0.105221627,18.92,44.02,17.56,11.21,4.77,0.87,0,0,0,0,0,2.65
Hospitality & Tourism,Restaurants and Food/Beverage Services,"Cooks, Short Order",2.32,4.36,3.53,1,6.11,3.2,0.113474659,0.13081384,0.161681287,0.029532164,-0.105034113,33.71,54.67,0,10.69,0.93,0,0,0,0,0,0,0
Manufacturing,Production,Cooling and Freezing Equipment Operators and Tenders,1,4.47,1.03,2.38,7,1.36,0.090823666,0.126165893,0.096455916,0.027366589,-0.0999942,51.44,7.31,40.77,0.48,0,0,0,0,0,0,0,0
Government & Public Administration,Governance,Coroners,1.52,4.81,3.92,4.86,4.08,3.13,0.12702509,0.139731183,0.154054659,0.029856631,-0.110439068,0,10,5,10,15,35,15,10,0,0,0,0
"Law, Public Safety, Corrections & Security",Correction Services,Correctional Officers and Jailers,1.01,4.7,3.21,1.71,5.35,3.89,0.095752391,0.144177151,0.164791142,0.038766985,-0.11235531,0,92.43,0,0,7.57,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,Correspondence Clerks,1.62,6.74,3.39,2.47,1.27,2.74,0.090789907,0.165507405,0.169040044,0.032281953,-0.109078442,0,42.91,0,17.41,28.07,11.61,0,0,0,0,0,0
Architecture & Construction,Design/Pre-Construction,Cost Estimators,1.05,6.44,4.71,3.25,3.1,1.66,0.083765463,0.164225631,0.163181593,0.015729837,-0.116382979,0,4.55,0,0,9.09,81.82,0,4.55,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Costume Attendants,5.89,3.85,3.07,1,3.57,3.45,0.187282765,0.102342775,0.165957753,0.032678829,-0.082645223,10.39,32.24,7.52,14.85,3.86,29.6,0,1.54,0,0,0,0
Marketing,Professional Sales,Counter and Rental Clerks,1.21,6.08,3.69,1,3.12,3.27,0.075939031,0.16357104,0.179689711,0.033679913,-0.113734349,0.78,55.86,0.43,13.21,9.47,20.25,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Couriers and Messengers,1,5.46,2.74,1.17,4.25,3.06,0.077771493,0.153755656,0.159722851,0.036255656,-0.110622172,3.28,74.33,9.32,0,13.07,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Legal Services,Court Reporters and Simultaneous Captioners,2.96,5.61,2.67,2.11,2.24,2.88,0.12783974,0.138765566,0.157812669,0.034861938,-0.096897672,0,5.47,74.84,5.25,11.59,0,0,0,0,2.86,0,0
Government & Public Administration,Public Management and Administration,"Court, Municipal, and License Clerks",1.12,6.13,4.24,1.91,2,3.5,0.084904762,0.16805291,0.189116402,0.03389418,-0.116783069,2.52,49.97,2.44,17.69,13.12,10.38,0.48,0,0,3.4,0,0
"Arts, Audio/Video Technology & Communications",Visual Arts,Craft Artists,6,2.55,2.9,1.88,5.86,1.72,0.200023912,0.085054998,0.13758967,0.01794835,-0.079693926,20,16,12,16,8,24,0,4,0,0,0,0
Architecture & Construction,Construction,Crane and Tower Operators,1,3.95,1.31,2.22,7,1.2,0.094304556,0.124190647,0.100821343,0.024064748,-0.10131295,7.84,31.53,60.63,0,0,0,0,0,0,0,0,0
Finance,Banking Services,Credit Analysts,1,6.89,4.5,3.83,1,2.42,0.088559063,0.172698574,0.173691446,0.024765784,-0.11697556,0,0,0,0,0,95,0,5,0,0,0,0
Human Services,Consumer Services,Credit Counselors,1.8,5.46,4.73,2.62,1,4.85,0.118484848,0.158939394,0.205092864,0.042072336,-0.114990225,0,36,12,8,4,40,0,0,0,0,0,0
Education & Training,Teaching/Training,"Criminal Justice and Law Enforcement Teachers, Postsecondary",3.24,3.66,3.44,4.89,2.6,6.83,0.175875912,0.122457421,0.179545823,0.055628548,-0.102327656,0,1.62,10.9,0,8.41,4.34,0,38.89,8.61,1.62,25.6,0
Health Science,Therapeutic Services,Critical Care Nurses,1.58,3.92,2.07,5.07,4.1,5.5,0.148655576,0.126560252,0.150953237,0.055152878,-0.104797662,0,0,0,0,35.71,50,0,10.71,3.57,0,0,0
"Law, Public Safety, Corrections & Security",Security & Protective Services,Crossing Guards and Flaggers,1.15,3.55,3.03,1.62,5.86,3.08,0.106167305,0.134117004,0.158042646,0.032711864,-0.110732641,17.95,72.8,3.21,6.04,0,0,0,0,0,0,0,0
Manufacturing,Production,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",1,4.33,1.22,2.16,7,1,0.087869539,0.126588869,0.096433273,0.022698983,-0.100586475,19.39,61.72,1.23,17.66,0,0,0,0,0,0,0,0
Education & Training,Professional Support Services,Curators,3.43,4.8,3.85,3.43,2.68,3.68,0.152670325,0.130324646,0.168756287,0.033731139,-0.10038866,0,0,0,3.37,1.48,6.13,8.09,44.05,0,0,34.75,2.12
Business Management & Administration,Administrative Support,Customer Service Representatives,1,6.16,5.11,1.62,2.05,3.84,0.081370071,0.1720273,0.20317998,0.032143579,-0.121066734,0,54.76,0,17.36,13.67,14.22,0,0,0,0,0,0
Business Management & Administration,Operations Management,Customs Brokers,1,6.13,5.07,1.53,2.43,2.2,0.070958606,0.173839869,0.190860566,0.017821351,-0.120713508,5,45,20,0,10,20,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Customs and Border Protection Officers,1,5.27,4.32,2.64,3.41,2.62,0.093400831,0.157570093,0.172928349,0.024755971,-0.116677051,0,39.01,10.12,14.2,7.33,27.15,2.18,0,0,0,0,0
Manufacturing,Production,"Cutters and Trimmers, Hand",2.19,3.75,1,1.22,6.24,1.13,0.114887315,0.112137798,0.102215068,0.024346426,-0.090328397,72.8,16.38,0,5.67,5.15,0,0,0,0,0,0,0
Manufacturing,Production,"Cutting and Slicing Machine Setters, Operators, and Tenders",1.12,4.17,1.22,1.52,6.7,1,0.085206612,0.126554355,0.100483153,0.022472982,-0.099707565,38.14,55.36,4.91,1.29,0,0,0.29,0,0,0,0,0
Manufacturing,Production,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",1.3,3.9,1,2.12,6.87,1,0.099950587,0.119314392,0.093477455,0.023613342,-0.09715874,8.73,67.36,16.42,7.49,0,0,0,0,0,0,0,0
Health Science,Diagnostic Services,Cytogenetic Technologists,1.47,5.07,1.55,5.96,5.37,1.89,0.128808071,0.126372595,0.102407321,0.030497419,-0.100042234,0,0,0,0,0,76.19,23.81,0,0,0,0,0
Health Science,Diagnostic Services,Cytotechnologists,1.15,4.87,1.77,6.11,5.86,2.54,0.127255605,0.127340807,0.109726457,0.034,-0.103233184,0,0,0,0,0,50,36.36,13.64,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Dancers,6.32,1.66,3.25,1.4,4.78,3.68,0.218923661,0.083119962,0.167591275,0.031981982,-0.081398767,34.17,45.06,13.54,7.24,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,Data Entry Keyers,1,7,1.8,2.34,2.92,1.23,0.061049724,0.163959484,0.121319828,0.026218539,-0.104088398,0,58.68,0,30.18,11.14,0,0,0,0,0,0,0
Information Technology,Information Support and Services,Data Warehousing Specialists,1.62,6.37,3.09,4.71,2.87,2,0.110522749,0.148891578,0.137018393,0.026185866,-0.105987415,0,4.35,4.35,4.35,4.35,78.26,0,4.35,0,0,0,0
Information Technology,Network Systems,Database Administrators,1.3,6.57,2.86,4.76,2.7,2.28,0.10457743,0.152442599,0.136726917,0.029941378,-0.107181241,0,0,0.15,2.21,3.46,88.98,3.91,1.29,0,0,0,0
